CONSTITUENCY,STATE_CODE,ID
Araku,AP,1
Srikakulam,AP,2
Vizianagaram,AP,3
Visakhapatnam,AP,4
Anakapalli,AP,5
Kakinada,AP,6
Amalapuram,AP,7
Rajahmundry,AP,8
Narasapuram,AP,9
Eluru,AP,10
Machilipatnam,AP,11
Vijayawada,AP,12
Guntur,AP,13
Narasaraopet,AP,14
Bapatla,AP,15
Ongole,AP,16
Nandyal,AP,17
Kurnool,AP,18
Anantapur,AP,19
Hindupur,AP,20
Kadapa,AP,21
Nellore,AP,22
Tirupati,AP,23
Rajampet,AP,24
Chittoor,AP,25
"Arunachal West",AR,26
"Arunachal East",AR,27
Karimganj,AS,28
Silchar,AS,29
"Autonomous District",AS,30
Dhubri,AS,31
Kokrajhar,AS,32
Barpeta,AS,33
Gauhati,AS,34
Mangaldoi,AS,35
Tezpur,AS,36
Nowgong,AS,37
Kaliabor,AS,38
Jorhat,AS,39
Dibrugarh,AS,40
Lakhimpur,AS,41
"Paschim Champaran",BR,42
"Purvi Champaran",BR,43
Sheohar,BR,44
Sitamarhi,BR,45
Madhubani,BR,46
Jhanjharpur,BR,47
Supaul,BR,48
Araria,BR,49
Kishanganj,BR,50
Katihar,BR,51
Purnia,BR,52
Madhepura,BR,53
Darbhanga,BR,54
Muzaffarpur,BR,55
Vaishali,BR,56
Gopalganj,BR,57
Siwan,BR,58
Maharajganj,BR,59
Saran,BR,60
Hajipur,BR,61
Ujiarpur,BR,62
Samastipur,BR,63
Begusarai,BR,64
Khagaria,BR,65
Bhagalpur,BR,66
Banka,BR,67
Munger,BR,68
Nalanda,BR,69
"Patna Sahib",BR,70
Pataliputra,BR,71
Arrah,BR,72
Buxar,BR,73
Sasaram,BR,74
Karakat,BR,75
Jahanabad,BR,76
Aurangabad,BR,77
Gaya,BR,78
Nawada,BR,79
Jamui,BR,80
"Valmiki Nagar",BR,81
Sarguja,CT,82
Raigarh,CT,83
Janjgir,CT,84
Korba,CT,85
Bilaspur,CT,86
Rajnandgaon,CT,87
Durg,CT,88
Raipur,CT,89
Mahasamund,CT,90
Bastar,CT,91
Kanker,CT,92
"North Goa",GA,93
"South Goa",GA,94
Kachchh,GJ,95
Banaskantha,GJ,96
Patan,GJ,97
Mahesana,GJ,98
Sabarkantha,GJ,99
Gandhinagar,GJ,100
"Ahmedabad East",GJ,101
"Ahmedabad West",GJ,102
Surendranagar,GJ,103
Rajkot,GJ,104
Porbandar,GJ,105
Jamnagar,GJ,106
Junagadh,GJ,107
Amreli,GJ,108
Bhavnagar,GJ,109
Anand,GJ,110
Kheda,GJ,111
Panchmahal,GJ,112
Dahod,GJ,113
Vadodara,GJ,114
"Chhota Udaipur",GJ,115
Bharuch,GJ,116
Bardoli,GJ,117
Surat,GJ,118
Navsari,GJ,119
Valsad,GJ,120
Ambala,HR,121
Kurukshetra,HR,122
Sirsa,HR,123
Hisar,HR,124
Karnal,HR,125
Sonipat,HR,126
Rohtak,HR,127
Bhiwani–Mahendragarh,HR,128
Gurugram,HR,129
Faridabad,HR,130
Kangra,HP,131
Mandi,HP,132
Hamirpur,HP,133
Shimla,HP,134
Rajmahal,JH,135
Dumka,JH,136
Godda,JH,137
Chatra,JH,138
Kodarma,JH,139
Giridih,JH,140
Dhanbad,JH,141
Ranchi,JH,142
Jamshedpur,JH,143
Singhbhum,JH,144
Khunti,JH,145
Lohardaga,JH,146
Palamau,JH,147
Hazaribagh,JH,148
Chikkodi,KA,149
Belagavi,KA,150
Bagalkote,KA,151
Vijaypura,KA,152
Kalburgi,KA,153
Raichur,KA,154
Bidar,KA,155
Koppal,KA,156
Bellari,KA,157
Haveri,KA,158
Dharwad,KA,159
"Uttara Kannada",KA,160
Davanagere,KA,161
Shivamogga,KA,162
"Udupi Chikmagaluru",KA,163
Hassan,KA,164
"Dakshina Kannada",KA,165
Chitradurga,KA,166
