ID,STATE_CODE,CONSTITUENCY,LOK_SABHA_ID
1,AP,Ichchapuram,2
2,AP,Palasa,2
3,AP,Tekkali,2
4,AP,Pathapatnam,2
5,AP,Srikakulam,2
6,AP,Amadalavalasa,2
7,AP,Etcherla,3
8,AP,Narasannapeta,2
9,AP,Rajam,3
10,AP,Palakonda,1
11,AP,Kurupam,1
12,AP,Parvathipuram,1
13,AP,Salur,1
14,AP,Bobbili,3
15,AP,Cheepurupalli,3
16,AP,Gajapathinagaram,3
17,AP,Nellimarla,3
18,AP,Vizianagaram,3
19,AP,Srungavarapukota,2
20,AP,Bhimili,2
21,AP,"Visakhapatnam East",2
22,AP,"Visakhapatnam South",2
23,AP,"Visakhapatnam North",2
24,AP,"Visakhapatnam West",2
25,AP,Gajuwaka,2
26,AP,Payakaraopet,1
27,AP,Narsipatnam,1
28,AP,Tuni,1
29,AP,Prathipadu,1
30,AP,Pithapuram,1
31,AP,"Kakinada Rural",1
32,AP,Peddapuram,1
33,AP,Anaparthy,1
34,AP,"Kakinada City",1
35,AP,Rajanagaram,1
36,AP,"Rajahmundry City",1
37,AP,"Rajahmundry Rural",1
38,AP,Jaggampeta,1
39,AP,Rampachodavaram,1
40,AP,Kovvur,1
41,AP,Nidadavole,1
42,AP,Achanta,1
43,AP,Palakollu,1
44,AP,Narasapuram,1
45,AP,Bhimavaram,1
46,AP,Undi,1
47,AP,Tanuku,1
48,AP,Tadepalligudem,1
49,AP,Unguturu,1
50,AP,Denduluru,1
51,AP,Eluru,1
52,AP,Gopalapuram,1
53,AP,Polavaram,1
54,AP,Chintalapudi,1
55,AP,Tiruvuru,1
56,AP,Nuzvid,1
57,AP,Gannavaram,1
58,AP,Gudivada,1
59,AP,Kaikalur,1
60,AP,Pedana,1
61,AP,Machilipatnam,1
62,AP,Avanigadda,1
63,AP,Pamarru,1
64,AP,Penamaluru,1
65,AP,"Vijayawada West",2
66,AP,"Vijayawada Central",2
67,AP,"Vijayawada East",2
68,AP,Mylavaram,2
69,AP,Nandigama,2
70,AP,Jaggayyapeta,2
71,AP,Pedakurapadu,1
72,AP,Tadikonda,1
73,AP,Mangalagiri,1
74,AP,Ponnuru,1
75,AP,Vemuru,1
76,AP,Repalle,1
77,AP,Tenali,1
78,AP,Bapatla,1
79,AP,Prathipadu,1
80,AP,"Guntur West",1
81,AP,"Guntur East",1
82,AP,Chilakaluripet,1
83,AP,Narasaraopet,1
84,AP,Sattenapalle,1
85,AP,Vinukonda,1
86,AP,Gurajala,1
87,AP,Macherla,1
88,AP,Yerragondapalem,1
89,AP,Darsi,1
90,AP,Parchur,1
91,AP,Addanki,1
92,AP,Chirala,1
