ID,STATE_CODE,CONSTITUENCY,LOK_SABHA_ID
3501,UP,Jagdishpur,397
3502,UP,Jahanabad,397
3503,UP,Jakhanian,397
3504,UP,Jalalabad,424
3505,UP,Jalalpur,397
3506,UP,Jalesar,397
3507,UP,Jangipur,397
3508,UP,Jasrana,397
3509,UP,Jaswantnagar,397
3510,UP,Jaunpur,397
3511,UP,Jewar,397
3512,UP,"Jhansi Nagar",397
3513,UP,Kadipur,429
3514,UP,Kaimganj,397
3515,UP,Kairana,397
3516,UP,Kaiserganj,397
3517,UP,Kalpi,397
3518,UP,Kalyanpur,397
3519,UP,Kannauj,397
3520,UP,"Kanpur Cantt.",397
3521,UP,Kanth,397
3522,UP,Kapilvastu,397
3523,UP,Kaptanganj,397
3524,UP,Karachhana,397
3525,UP,Karhal,397
3526,UP,Kasganj,397
3527,UP,Kasta,397
3528,UP,Katehari,397
3529,UP,Katra,424
3530,UP,"Katra Bazar",397
3531,UP,Kerakat,397
3532,UP,Khadda,397
3533,UP,Khaga,397
3534,UP,Khair,397
3535,UP,Khajani,423
3536,UP,Khalilabad,423
3537,UP,Khatauli,397
3538,UP,Kheragarh,397
3539,UP,Khurja,397
3540,UP,"Kidwai Nagar",397
3541,UP,Kishni,397
3542,UP,Kithore,407
3543,UP,Koil,397
3544,UP,Koraon,397
3545,UP,Kunda,397
3546,UP,Kundarki,405
3547,UP,Kursi,397
3548,UP,Kushinagar,397
3549,UP,Laharpur,427
3550,UP,Lakhimpur,397
3551,UP,Lalganj,397
3552,UP,Lalitpur,397
3553,UP,Lambhua,429
3554,UP,Loni,397
3555,UP,"Lucknow Cantt.",397
3556,UP,"Lucknow Central",397
3557,UP,"Lucknow East",397
3558,UP,"Lucknow North",397
3559,UP,"Lucknow West",397
3560,UP,Machhlishahr,397
3561,UP,Madhaugarh,397
3562,UP,Madhuban,397
3563,UP,Mahadewa,397
3564,UP,Maharajganj,397
3565,UP,Maharajpur,397
3566,UP,Mahasi,397
3567,UP,Mahmoodabad,427
3568,UP,Mahoba,397
3569,UP,Maholi,397
3570,UP,Mainpuri,397
3571,UP,Majhawan,397
3572,UP,Malhani,397
3573,UP,Malihabad,397
3574,UP,Manikpur,397
3575,UP,Manjhanpur,397
3576,UP,Mankapur,397
3577,UP,Mant,397
3578,UP,Marhara,397
3579,UP,Madihan,397
3580,UP,Mariyahu,397
3581,UP,Matera,397
3582,UP,Mathura,397
3583,UP,Mau,397
3584,UP,Mauranipur,397
3585,UP,Meerapur,397
3586,UP,Meerganj,397
3587,UP,Meerut,407
3588,UP,"Meerut Cantt.",407
3589,UP,"Meerut South",407
3590,UP,Mehnagar,397
3591,UP,Mehnaun,397
3592,UP,Mehroni,397
3593,UP,Meja,397
3594,UP,Menhdawal,423
3595,UP,Milak,397
3596,UP,Milkipur,397
3597,UP,Mirzapur,397
3598,UP,Misrikh,397
3599,UP,Modinagar,397
3600,UP,Mohammadabad,397
3601,UP,Mohammdi,397
3602,UP,Mohan,430
3603,UP,Mohanlalganj,397
3604,UP,"Moradabad Nagar",397
3605,UP,"Moradabad Rural",397
3606,UP,Mubarakpur,397
3607,UP,Mughalsarai,397
3608,UP,Muhammadabad-Gohna,397
3609,UP,"Mungra Badshahpur",397
3610,UP,Muradnagar,397
3611,UP,Muzaffarnagar,397
3612,UP,Nagina,397
3613,UP,Najibabad,397
3614,UP,Nakur,397
3615,UP,Nanpara,397
3616,UP,Naraini,397
3617,UP,"Naugawan Sadat",397
3618,UP,Nautanwa,397
3619,UP,Nawabganj,397
3620,UP,Nehtaur,397
3621,UP,Nighasan,397
3622,UP,Nizamabad,397
3623,UP,Noida,397
3624,UP,Noorpur,397
3625,UP,Obra,397
3626,UP,Orai,397
3627,UP,Padrauna,397
3628,UP,Palia,397
3629,UP,Paniyara,397
3630,UP,Pathardeva,397
3631,UP,Patiyali,397
3632,UP,Patti,397
3633,UP,Payagpur,397
3634,UP,Phaphamau,397
3635,UP,Pharenda,397
3636,UP,Phephana,397
3637,UP,"Phoolpur Pawai",397
3638,UP,Phulpur,397
3639,UP,Pilibhit,397
3640,UP,Pindra,397
3641,UP,Pipraich,397
3642,UP,Powayan,424
3643,UP,Pratapgarh,397
3644,UP,Pratappur,397
3645,UP,Puranpur,397
3646,UP,Purqazi,397
3647,UP,Purwa,430
3648,UP,"Rae Bareli",397
3649,UP,"Ram Nagar",397
3650,UP,Ramkola,397
3651,UP,Rampur,397
3652,UP,"Rampur Karkhana",397
3653,UP,"Rampur Khas",397
3654,UP,"Rampur Maniharan",398
3655,UP,Raniganj,397
3656,UP,Rasara,397
3657,UP,Rasulabad,397
3658,UP,Rath,397
3659,UP,Robertsganj,397
3660,UP,Rohaniya,474
3661,UP,Rudauli,397
3662,UP,Rudhauli,397
3663,UP,Rudrapur,397
3664,UP,Sadabad,397
3665,UP,Sadar,429
3666,UP,Safipur,430
3667,UP,Sagri,397
3668,UP,Sahajanwa,397
3669,UP,Saharanpur,398
3670,UP,"Saharanpur Nagar",398
3671,UP,Sahaswan,397
3672,UP,Sahibabad,397
3673,UP,Saidpur,397
3674,UP,Saiyadraja,397
3675,UP,Sakaldiha,397
3676,UP,Salempur,404
3677,UP,Salon,397
3678,UP,Sambhal,405
3679,UP,Sandi,397
3680,UP,Sandila,397
3681,UP,Sardhana,397
3682,UP,Sareni,397
3683,UP,"Sarojini Nagar",397
3684,UP,Sawayazpur,397
3685,UP,Sevapuri,474
3686,UP,Sevata,427
3687,UP,Shahabad,397
3688,UP,Shahganj,397
3689,UP,Shahjahanpur,424
3690,UP,Shamli,397
3691,UP,Shekhupur,397
3692,UP,Shikarpur,397
3693,UP,Shikohabad,397
3694,UP,Shivpur,397
3695,UP,Shohratgarh,397
3696,UP,Shrawasti,426
3697,UP,Sidhauli,397
3698,UP,Sikanderpur,404
3699,UP,Sikandra,397
3700,UP,"Sikandra Rao",397
3701,UP,Sikandrabad,397
3702,UP,Sirathu,397
3703,UP,Sirsaganj,397
3704,UP,Sishamau,397
3705,UP,Siswa,397
3706,UP,Sitapur,427
3707,UP,Siwalkhas,397
3708,UP,Soraon,397
3709,UP,"Sri Nagar",397
3710,UP,Suar,397
3711,UP,Sultanpur,429
3712,UP,Syana,397
3713,UP,"Tamkuhi Raj",397
3714,UP,Tanda,397
3715,UP,Tarabganj,397
3716,UP,Thakurdwara,397
3717,UP,"Thana Bhawan",397
3718,UP,Tilhar,424
3719,UP,Tiloi,397
3720,UP,Tindwari,397
3721,UP,Tirwa,397
3722,UP,Tulsipur,426
3723,UP,Tundla,397
3724,UP,Unchahar,397
3725,UP,Unnao,430
3726,UP,Utraula,397
3727,UP,"Varanasi Cantt.",474
3728,UP,"Varanasi North",474
3729,UP,"Varanasi South",474
3730,UP,Vishwanathganj,397
3731,UP,Zafrabad,397
3732,UP,Zahoorabad,397
3733,UP,Zaidpur,397
3734,UP,Zamania,397
3735,UT,Purola,478
3736,UT,Yamunotri,478
3737,UT,Gangotri,478
3738,UT,Badrinath,477
3739,UT,Tharali,477
3740,UT,Karnaprayag,477
3741,UT,Kedarnath,477
3742,UT,Rudraprayag,477
3743,UT,Ghansali,478
3744,UT,Devprayag,477
3745,UT,Narendranagar,477
3746,UT,Pratapnagar,478
3747,UT,Tehri,478
3748,UT,Dhanaulti,478
3749,UT,Chakrata,478
3750,UT,Vikasnagar,478
3751,UT,Sahaspur,478
3752,UT,Dharampur,477
3753,UT,Raipur,478
3754,UT,"Rajpur Road",478
3755,UT,"Dehradun Cantt",478
3756,UT,Mussoorie,478
3757,UT,Doiwala,477
3758,UT,Rishikesh,477
3759,UT,Haridwar,477
3760,UT,"BHEL Ranipur",477
3761,UT,Jwalapur,477
3762,UT,Bhagwanpur,477
3763,UT,Jhabrera,477
3764,UT,"Piran Kaliyar",477
3765,UT,Roorkee,477
3766,UT,Khanpur,477
3767,UT,Manglaur,477
3768,UT,Laksar,477
3769,UT,"Haridwar Rural",477
3770,UT,Yamkeshwar,477
3771,UT,Pauri,477
3772,UT,Srinagar,477
3773,UT,Chaubattakhal,477
3774,UT,Lansdowne,477
3775,UT,Kotdwar,477
3776,UT,Dharchula,477
3777,UT,Didihat,477
3778,UT,Pithoragarh,477
3779,UT,Gangolihat,477
3780,UT,Kapkot,477
3781,UT,Bageshwar,477
3782,UT,Dwarahat,477
3783,UT,Salt,477
3784,UT,Ranikhet,477
3785,UT,Someshwar,477
3786,UT,Almora,477
3787,UT,Jageshwar,477
3788,UT,Lohaghat,477
3789,UT,Champawat,477
3790,UT,Lalkuan,477
3791,UT,Bhimtal,477
3792,UT,Nainital,477
3793,UT,Haldwani,477
3794,UT,Kaladhungi,477
3795,UT,Ramnagar,477
3796,UT,Jaspur,477
3797,UT,Kashipur,477
3798,UT,Bajpur,477
3799,UT,Gadarpur,477
3800,UT,Rudrapur,477
3801,UT,Kichha,477
3802,UT,Sitarganj,477
3803,UT,Nanakmatta,477
3804,UT,Khatima,477
3805,WB,Mekliganj,482
3806,WB,Mathabhanga,482
3807,WB,"Cooch Behar (Uttar)",482
3808,WB,"Cooch Behar (Dakshin)",482
3809,WB,Sitalkuchi,482
3810,WB,Sitai,482
3811,WB,Dinhata,482
3812,WB,Natabari,482
3813,WB,Tufanganj,482
3814,WB,Kumargram,482
3815,WB,Kalchini,482
3816,WB,Alipurudars,482
3817,WB,Falakata,482
3818,WB,Madarihat,482
3819,WB,Dhupguri,482
3820,WB,Maynaguri,482
3821,WB,Jalpaiguri,482
3822,WB,Rajganj,482
3823,WB,Dabgram-Phulbari,482
3824,WB,Mal,482
3825,WB,Nagrakata,482
3826,WB,Kalimpong,482
3827,WB,Darjeeling,482
3828,WB,Kurseong,482
3829,WB,Matigara-Naxalbari,482
3830,WB,Siliguri,482
3831,WB,Phansidewa,482
3832,WB,Chopra,482
3833,WB,Islampur,482
3834,WB,Goalpokhar,482
3835,WB,Chakulia,482
3836,WB,Karandighi,482
3837,WB,Hemtabad,482
3838,WB,Kaliaganj,482
3839,WB,Raiganj,482
3840,WB,Itahar,482
3841,WB,Kushmandi,482
3842,WB,Kumarganj,482
3843,WB,Balurghat,482
3844,WB,Tapan,482
3845,WB,Gangarampur,482
3846,WB,Harirampur,482
3847,WB,Habibpur,482
3848,WB,Gazole,482
3849,WB,Chanchal,482
3850,WB,Harishchandrapur,482
3851,WB,Malatipur,482
3852,WB,Ratua,482
3853,WB,Manikchak,482
3854,WB,Maldah,482
